"Timestamp","Which would you prefer for watching movies and TV?","Which would you prefer for online learning?","Which would you prefer for advertisements and commercials?","Which would you prefer for online shopping?","How do you define your gender?","What is your age group?","How do you define your ethnicity?","In your opinion, could this format of viewing media create more diversity in the videos people see in general?","Who would you choose to see in some of your favorite television shows or movies?","How do you think this system could change general perceptions of stereotypes?"
"2020/06/03 4:31:56 PM GMT+2","AI generated & animated faces option only","AI generated & animated faces option only","AI generated & animated faces option only","AI generated & animated faces option only","Man","25-34 years old","African-American/Black","Yes","Friends","I think this has the potential to help the demographics that choose for themselves, but it also has the potential to reinforce i.e. someone making a certain group of people the bad guys all the time. "
"2020/06/03 4:45:03 PM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Man","25-34 years old","African-American/Black","Yes","Family","I think it would allow each person to be able to see themselves represented in every major form of entertainment, advertisement, media, etc. "
"2020/06/03 7:54:39 PM GMT+2","Traditional System only","Traditional System only","Traditional System only","Traditional System only","Man","35-44 years old","Caucasian/White","Yes","Original cast","I think it could be used as a money-saving tool for companies to avoid paying actors, etc, but allowing choice based upon artificial race is going to hurt society more than grow it; better people learn to see each other as equals for real than find out its a lie..."
"2020/06/03 8:08:24 PM GMT+2","Traditional System only","Traditional System only","Traditional System only","Traditional System only","Man","35-44 years old","Caucasian/White","Yes","Family",""
"2020/06/03 8:08:54 PM GMT+2","Traditional System only","Traditional System only","Traditional System only","Traditional System only","Woman","25-34 years old","Caucasian/White","No","Original cast","it would not change anything because people would choose to see only what they are already comfortable with"
"2020/06/03 8:10:05 PM GMT+2","Traditional System only","Traditional System only","Traditional System only","Traditional System only","Woman","12-17 years old","Caucasian/White","Yes","Yourself","I think it might elevate stereotypes as people would choose which face they want to play which character, and people would tend to a certain appearance for heroes/villains, thereby creating prejudices against people who appear similar to the villains. In addition, it would destroy the concept of celebrities as there would be no cast to any movies or models for clothes online."
"2020/06/03 8:10:10 PM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","AI generated & animated faces option only","AI generated & animated faces option only","Man","25-34 years old","Caucasian/White","Yes","AI generated actors/actresses","It would obviously show the flaws in the perception of races. "
"2020/06/03 8:12:43 PM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System only","Traditional System + AI generated & animated faces option","Man","35-44 years old","Caucasian/White","Yes","Yourself","I see it allows for people with low representation in the media to choose to see that representation, ultimately I believe this will be exploited and people will just watch their movies with dream castings or will further the divide of media as everyone will just see their versions of media and be less open minded about others opinions."
"2020/06/03 8:30:05 PM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","AI generated & animated faces option only","Man","25-34 years old","Caucasian/White","Yes","Yourself",""
"2020/06/03 8:32:37 PM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System only","Man","35-44 years old","African-American/Black","Yes","Yourself","The viewer would have more control of there overall experience with entertainment."
